category,percentage,sna,cumulative_percentage
restaurant,29.07303370786517,臺大男一舍前,29.073033707865164
bicycle_rental,11.938202247191011,臺大男一舍前,41.01123595505617
parking,6.320224719101124,臺大男一舍前,47.3314606741573
drinking_water,5.8988764044943816,臺大男一舍前,53.23033707865168
cafe,4.775280898876404,臺大男一舍前,58.005617977528075
restaurant,29.01484480431849,臺大男六舍前,29.01484480431849
bicycle_rental,11.740890688259109,臺大男六舍前,40.7557354925776
parking,6.0728744939271255,臺大男六舍前,46.82860998650472
drinking_water,5.802968960863698,臺大男六舍前,52.63157894736843
cafe,4.993252361673414,臺大男六舍前,57.62483130904184
restaurant,32.281334535617674,臺大禮賢樓東南側,32.281334535617674
cafe,9.017132551848512,臺大禮賢樓東南側,41.298467087466186
bicycle_rental,8.746618575293057,臺大禮賢樓東南側,50.045085662759234
drinking_water,4.779080252479711,臺大禮賢樓東南側,54.82416591523895
parking,4.779080252479711,臺大禮賢樓東南側,59.60324616771866
restaurant,33.13304721030043,臺大法人語言訓練中心前,33.133047210300425
bicycle_rental,9.44206008583691,臺大法人語言訓練中心前,42.57510729613735
cafe,8.326180257510728,臺大法人語言訓練中心前,50.90128755364807
parking,3.862660944206009,臺大法人語言訓練中心前,54.763948497854074
drinking_water,3.6909871244635193,臺大法人語言訓練中心前,58.45493562231759
restaurant,32.90689410092395,新生南路三段82號前,32.90689410092396
cafe,9.737029140014215,新生南路三段82號前,42.64392324093817
bicycle_rental,7.1783937455579245,新生南路三段82號前,49.8223169864961
drinking_water,4.904051172707889,新生南路三段82號前,54.726368159203986
parking,4.33546552949538,新生南路三段82號前,59.06183368869937
restaurant,36.59919028340081,捷運大安站(3號出口),36.59919028340081
parking_space,12.307692307692308,捷運大安站(3號出口),48.906882591093115
cafe,6.720647773279352,捷運大安站(3號出口),55.62753036437247
bank,5.587044534412955,捷運大安站(3號出口),61.21457489878542
bicycle_rental,3.967611336032389,捷運大安站(3號出口),65.1821862348178
restaurant,28.881278538812786,師範大學公館校區,28.881278538812786
bench,7.30593607305936,師範大學公館校區,36.18721461187215
parking,5.821917808219178,師範大學公館校區,42.009132420091326
cafe,5.365296803652968,師範大學公館校區,47.37442922374429
drinking_water,5.251141552511415,師範大學公館校區,52.62557077625571
restaurant,44.55555555555556,捷運南京三民站(2號出口),44.55555555555555
cafe,7.555555555555555,捷運南京三民站(2號出口),52.11111111111111
bank,6.222222222222222,捷運南京三民站(2號出口),58.33333333333333
bicycle_rental,4.777777777777778,捷運南京三民站(2號出口),63.11111111111111
fast_food,3.4444444444444446,捷運南京三民站(2號出口),66.55555555555554
restaurant,47.389558232931726,捷運北投站(1號出口),47.38955823293173
drinking_water,6.024096385542169,捷運北投站(1號出口),53.413654618473906
parking,5.421686746987952,捷運北投站(1號出口),58.83534136546186
cafe,5.020080321285141,捷運北投站(1號出口),63.85542168674701
fast_food,4.819277108433735,捷運北投站(1號出口),68.67469879518075
restaurant,39.92740471869328,捷運台北101/世貿站(3號出口),39.92740471869328
drinking_water,7.441016333938294,捷運台北101/世貿站(3號出口),47.368421052631575
bank,6.8058076225045365,捷運台北101/世貿站(3號出口),54.17422867513611
cafe,6.170598911070781,捷運台北101/世貿站(3號出口),60.3448275862069
bicycle_rental,4.900181488203267,捷運台北101/世貿站(3號出口),65.24500907441016
restaurant,32.8159645232816,捷運臺電大樓站(2號出口),32.81596452328159
cafe,11.012564671101256,捷運臺電大樓站(2號出口),43.828529194382845
bicycle_rental,5.469327420546933,捷運臺電大樓站(2號出口),49.29785661492978
drinking_water,5.321507760532151,捷運臺電大樓站(2號出口),54.619364375461934
bench,4.212860310421286,捷運臺電大樓站(2號出口),58.832224685883205
