"times","stop_id1","longitude1（經度）","latitude1（緯度）","stop_id2","longitude2","latitude2"
65,"U101007",121.54326,25.02253,"U119088",121.54347,25.0199500025
8,"U101007",121.54326,25.02253,"U119089",121.54242,25.0179100025
2,"U101007",121.54326,25.02253,"U119091",121.54469,25.0181600025
248,"U101008",121.53407,25.02112,"U101009",121.53384,25.0197600025
74,"U101008",121.53407,25.02112,"U101010",121.53361,25.0189400025
3,"U101008",121.53407,25.02112,"U101014",121.53202,25.0171700025
157,"U101008",121.53407,25.02112,"U101020",121.5331,25.0209300025
1,"U101008",121.53407,25.02112,"U101021",121.53549,25.0138500025
1,"U101008",121.53407,25.02112,"U101022",121.53438,25.0149100025
25,"U101008",121.53407,25.02112,"U101040",121.53626,25.0222000025
194,"U101008",121.53407,25.02112,"U101041",121.53474,25.0221800025
24,"U101008",121.53407,25.02112,"U101094",121.53165,25.0219300025
1,"U101008",121.53407,25.02112,"U101181",121.53374,25.0155100025
18,"U101008",121.53407,25.02112,"U101184",121.53334,25.0174400025
98,"U101008",121.53407,25.02112,"U101185",121.5341,25.0226700025
8,"U101008",121.53407,25.02112,"U101216",121.53608,25.0226800025
25,"U101008",121.53407,25.02112,"U119045",121.53404,25.0183900025
5,"U101008",121.53407,25.02112,"U119049",121.53902,25.0193700025
5,"U101008",121.53407,25.02112,"U119050",121.5376,25.0184600025
1,"U101008",121.53407,25.02112,"U119052",121.54059,25.0185700025
20,"U101008",121.53407,25.02112,"U119053",121.53783,25.0210800025
5,"U101008",121.53407,25.02112,"U119055",121.53585,25.0179300025
31,"U101008",121.53407,25.02112,"U119058",121.53583,25.0198000025
47,"U101008",121.53407,25.02112,"U119066",121.53633,25.0215700025
2,"U101008",121.53407,25.02112,"U119069",121.53906,25.0207400025
1,"U101008",121.53407,25.02112,"U119075",121.53995,25.0176100025
6,"U101008",121.53407,25.02112,"U119077",121.536,25.0189000025
1,"U101008",121.53407,25.02112,"U119079",121.53455,25.0169800025
2,"U101008",121.53407,25.02112,"U119083",121.53846,25.0196000025
1,"U101008",121.53407,25.02112,"U119086",121.53928,25.0180400025
143,"U101008",121.53407,25.02112,"U119090",121.53591,25.0211200025
702,"U101009",121.53384,25.01976,"U101010",121.53361,25.0189400025
27,"U101009",121.53384,25.01976,"U101014",121.53202,25.0171700025
136,"U101009",121.53384,25.01976,"U101020",121.5331,25.0209300025
3,"U101009",121.53384,25.01976,"U101021",121.53549,25.0138500025
24,"U101009",121.53384,25.01976,"U101022",121.53438,25.0149100025
1,"U101009",121.53384,25.01976,"U101023",121.53661,25.0124400025
2,"U101009",121.53384,25.01976,"U101038",121.54284,25.0210100025
1,"U101009",121.53384,25.01976,"U101039",121.54081,25.0210400025
8,"U101009",121.53384,25.01976,"U101040",121.53626,25.0222000025
28,"U101009",121.53384,25.01976,"U101041",121.53474,25.0221800025
14,"U101009",121.53384,25.01976,"U101094",121.53165,25.0219300025
26,"U101009",121.53384,25.01976,"U101181",121.53374,25.0155100025
143,"U101009",121.53384,25.01976,"U101184",121.53334,25.0174400025
9,"U101009",121.53384,25.01976,"U101185",121.5341,25.0226700025
3,"U101009",121.53384,25.01976,"U101209",121.54153,25.0210100025
2,"U101009",121.53384,25.01976,"U101216",121.53608,25.0226800025
1,"U101009",121.53384,25.01976,"U106002",121.531908,25.0146970025
4,"U101009",121.53384,25.01976,"U106003",121.534374,25.0145290025
6,"U101009",121.53384,25.01976,"U106004",121.533828,25.0150690025
2,"U101009",121.53384,25.01976,"U119044",121.53759,25.0140800025
337,"U101009",121.53384,25.01976,"U119045",121.53404,25.0183900025
1,"U101009",121.53384,25.01976,"U119046",121.53673,25.0135500025
5,"U101009",121.53384,25.01976,"U119047",121.53844,25.0176100025
10,"U101009",121.53384,25.01976,"U119048",121.53436,25.0154700025
18,"U101009",121.53384,25.01976,"U119049",121.53902,25.0193700025
36,"U101009",121.53384,25.01976,"U119050",121.5376,25.0184600025
7,"U101009",121.53384,25.01976,"U119052",121.54059,25.0185700025
5,"U101009",121.53384,25.01976,"U119053",121.53783,25.0210800025
1,"U101009",121.53384,25.01976,"U119054",121.5404,25.0194100025
73,"U101009",121.53384,25.01976,"U119055",121.53585,25.0179300025
12,"U101009",121.53384,25.01976,"U119056",121.53535,25.0162700025
11,"U101009",121.53384,25.01976,"U119057",121.53718,25.0166600025
16,"U101009",121.53384,25.01976,"U119058",121.53583,25.0198000025
7,"U101009",121.53384,25.01976,"U119059",121.53791,25.0159500025
4,"U101009",121.53384,25.01976,"U119060",121.53786,25.0156600025
7,"U101009",121.53384,25.01976,"U119061",121.53786,25.0151100025
1,"U101009",121.53384,25.01976,"U119062",121.53798,25.0134500025
3,"U101009",121.53384,25.01976,"U119063",121.53635,25.0160300025
8,"U101009",121.53384,25.01976,"U119065",121.53574,25.0169900025
15,"U101009",121.53384,25.01976,"U119066",121.53633,25.0215700025
6,"U101009",121.53384,25.01976,"U119067",121.54145,25.0205300025
2,"U101009",121.53384,25.01976,"U119068",121.54175,25.0198700025
5,"U101009",121.53384,25.01976,"U119069",121.53906,25.0207400025
13,"U101009",121.53384,25.01976,"U119070",121.53583,25.0156100025
7,"U101009",121.53384,25.01976,"U119071",121.53992,25.0203600025
2,"U101009",121.53384,25.01976,"U119072",121.53868,25.0188100025
2,"U101009",121.53384,25.01976,"U119074",121.53825,25.0154800025
13,"U101009",121.53384,25.01976,"U119075",121.53995,25.0176100025
1,"U101009",121.53384,25.01976,"U119076",121.54195,25.0192200025
17,"U101009",121.53384,25.01976,"U119077",121.536,25.0189000025
37,"U101009",121.53384,25.01976,"U119079",121.53455,25.0169800025
1,"U101009",121.53384,25.01976,"U119080",121.53686,25.0153900025
2,"U101009",121.53384,25.01976,"U119082",121.53781,25.0170300025
12,"U101009",121.53384,25.01976,"U119083",121.53846,25.0196000025
8,"U101009",121.53384,25.01976,"U119086",121.53928,25.0180400025
5,"U101009",121.53384,25.01976,"U119087",121.54031,25.0169000025
1,"U101009",121.53384,25.01976,"U119088",121.54347,25.0199500025
1,"U101009",121.53384,25.01976,"U119089",121.54242,25.0179100025
32,"U101009",121.53384,25.01976,"U119090",121.53591,25.0211200025
121,"U101010",121.53361,25.01894,"U101014",121.53202,25.0171700025
37,"U101010",121.53361,25.01894,"U101020",121.5331,25.0209300025
5,"U101010",121.53361,25.01894,"U101021",121.53549,25.0138500025
38,"U101010",121.53361,25.01894,"U101022",121.53438,25.0149100025
5,"U101010",121.53361,25.01894,"U101023",121.53661,25.0124400025
1,"U101010",121.53361,25.01894,"U101036",121.54497,25.0203200025
1,"U101010",121.53361,25.01894,"U101037",121.54432,25.0207600025
5,"U101010",121.53361,25.01894,"U101038",121.54284,25.0210100025
2,"U101010",121.53361,25.01894,"U101039",121.54081,25.0210400025
2,"U101010",121.53361,25.01894,"U101040",121.53626,25.0222000025
6,"U101010",121.53361,25.01894,"U101041",121.53474,25.0221800025
3,"U101010",121.53361,25.01894,"U101094",121.53165,25.0219300025
50,"U101010",121.53361,25.01894,"U101181",121.53374,25.0155100025
746,"U101010",121.53361,25.01894,"U101184",121.53334,25.0174400025
3,"U101010",121.53361,25.01894,"U101185",121.5341,25.0226700025
4,"U101010",121.53361,25.01894,"U101209",121.54153,25.0210100025
1,"U101010",121.53361,25.01894,"U105066",121.53637,25.0107600025
1,"U101010",121.53361,25.01894,"U106002",121.531908,25.0146970025
11,"U101010",121.53361,25.01894,"U106003",121.534374,25.0145290025
9,"U101010",121.53361,25.01894,"U106004",121.533828,25.0150690025
4,"U101010",121.53361,25.01894,"U119044",121.53759,25.0140800025
786,"U101010",121.53361,25.01894,"U119045",121.53404,25.0183900025
2,"U101010",121.53361,25.01894,"U119046",121.53673,25.0135500025
10,"U101010",121.53361,25.01894,"U119047",121.53844,25.0176100025
29,"U101010",121.53361,25.01894,"U119048",121.53436,25.0154700025
23,"U101010",121.53361,25.01894,"U119049",121.53902,25.0193700025
92,"U101010",121.53361,25.01894,"U119050",121.5376,25.0184600025
14,"U101010",121.53361,25.01894,"U119052",121.54059,25.0185700025
3,"U101010",121.53361,25.01894,"U119053",121.53783,25.0210800025
3,"U101010",121.53361,25.01894,"U119054",121.5404,25.0194100025
202,"U101010",121.53361,25.01894,"U119055",121.53585,25.0179300025
20,"U101010",121.53361,25.01894,"U119056",121.53535,25.0162700025
27,"U101010",121.53361,25.01894,"U119057",121.53718,25.0166600025
21,"U101010",121.53361,25.01894,"U119058",121.53583,25.0198000025
11,"U101010",121.53361,25.01894,"U119059",121.53791,25.0159500025
7,"U101010",121.53361,25.01894,"U119060",121.53786,25.0156600025
13,"U101010",121.53361,25.01894,"U119061",121.53786,25.0151100025
1,"U101010",121.53361,25.01894,"U119062",121.53798,25.0134500025
2,"U101010",121.53361,25.01894,"U119063",121.53635,25.0160300025
14,"U101010",121.53361,25.01894,"U119065",121.53574,25.0169900025
5,"U101010",121.53361,25.01894,"U119066",121.53633,25.0215700025
10,"U101010",121.53361,25.01894,"U119067",121.54145,25.0205300025
5,"U101010",121.53361,25.01894,"U119068",121.54175,25.0198700025
1,"U101010",121.53361,25.01894,"U119069",121.53906,25.0207400025
